Year,Actor,winner
1927,Emil Jannings,1
1927,Richard Barthelmess,0
1928,Warner Baxter,1
1928,George Bancroft,0
1928,Chester Morris,0
1928,Paul Muni,0
1928,Lewis Stone,0
1929,George Arliss,1
1929,George Arliss,0
1929,Wallace Beery,0
1929,Maurice Chevalier,0
1929,Ronald Colman,0
1929,Lawrence Tibbett,0
1930,Lionel Barrymore,1
1930,Jackie Cooper,0
1930,Richard Dix,0
1930,Fredric March,0
1930,Adolphe Menjou,0
1931,Wallace Beery,1
1931,Fredric March,1
1931,Alfred Lunt,0
1932,Charles Laughton,1
1932,Leslie Howard,0
1932,Paul Muni,0
1934,Clark Gable,1
1934,Frank Morgan,0
1934,William Powell,0
1935,Victor McLaglen,1
1935,Clark Gable,0
1935,Charles Laughton,0
1935,Paul Muni,0
1935,Franchot Tone,0
1936,Paul Muni,1
1936,Gary Cooper,0
1936,Walter Huston,0
1936,William Powell,0
1936,Spencer Tracy,0
1937,Spencer Tracy,1
1937,Charles Boyer,0
1937,Fredric March,0
1937,Robert Montgomery,0
1937,Paul Muni,0
1938,Spencer Tracy,1
1938,Charles Boyer,0
1938,James Cagney,0
1938,Robert Donat,0
1938,Leslie Howard,0
1939,Robert Donat,1
1939,Clark Gable,0
1939,Laurence Olivier,0
1939,Mickey Rooney,0
1939,James Stewart,0
1940,James Stewart,1
1940,Charlie Chaplin,0
1940,Henry Fonda,0
1940,Raymond Massey,0
1940,Laurence Olivier,0
1941,Gary Cooper,1
1941,Cary Grant,0
1941,Walter Huston,0
1941,Robert Montgomery,0
1941,Orson Welles,0
1942,James Cagney,1
1942,Ronald Colman,0
1942,Gary Cooper,0
1942,Walter Pidgeon,0
1942,Monty Woolley,0
1943,Paul Lukas,1
1943,Humphrey Bogart,0
1943,Gary Cooper,0
1943,Walter Pidgeon,0
1943,Mickey Rooney,0
1944,Bing Crosby,1
1944,Charles Boyer,0
1944,Barry Fitzgerald,0
1944,Cary Grant,0
1944,Alexander Knox,0
1945,Ray Milland,1
1945,Bing Crosby,0
1945,Gene Kelly,0
1945,Gregory Peck,0
1945,Cornel Wilde,0
1946,Fredric March,1
1946,Laurence Olivier,0
1946,Larry Parks,0
1946,Gregory Peck,0
1946,James Stewart,0
1947,Ronald Colman,1
1947,John Garfield,0
1947,Gregory Peck,0
1947,William Powell,0
1947,Michael Redgrave,0
1948,Laurence Olivier,1
1948,Lew Ayres,0
1948,Montgomery Clift,0
1948,Dan Dailey,0
1948,Clifton Webb,0
1949,Broderick Crawford,1
1949,Kirk Douglas,0
1949,Gregory Peck,0
1949,Richard Todd,0
1949,John Wayne,0
1950,José Ferrer,1
1950,Louis Calhern,0
1950,William Holden,0
1950,James Stewart,0
1950,Spencer Tracy,0
1951,Humphrey Bogart,1
1951,Marlon Brando,0
1951,Montgomery Clift,0
1951,Arthur Kennedy,0
1951,Fredric March,0
1952,Gary Cooper,1
1952,Marlon Brando,0
1952,Kirk Douglas,0
1952,José Ferrer,0
1952,Alec Guinness,0
1953,William Holden,1
1953,Marlon Brando,0
1953,Richard Burton,0
1953,Montgomery Clift,0
1953,Burt Lancaster,0
1954,Marlon Brando,1
1954,Humphrey Bogart,0
1954,Bing Crosby,0
1954,James Mason,0
1954,Dan O'Herlihy,0
1955,Ernest Borgnine,1
1955,James Cagney,0
1955,James Dean,0
1955,Frank Sinatra,0
1955,Spencer Tracy,0
1956,Yul Brynner,1
1956,James Dean,0
1956,Kirk Douglas,0
1956,Rock Hudson,0
1956,Laurence Olivier,0
1957,Alec Guinness,1
1957,Marlon Brando,0
1957,Anthony Franciosa,0
1957,Charles Laughton,0
1957,Anthony Quinn,0
1958,David Niven,1
1958,Tony Curtis,0
1958,Paul Newman,0
1958,Sidney Poitier,0
1958,Spencer Tracy,0
1959,Charlton Heston,1
1959,Laurence Harvey,0
1959,Jack Lemmon,0
1959,Paul Muni,0
1959,James Stewart,0
1960,Burt Lancaster,1
1960,Trevor Howard,0
1960,Jack Lemmon,0
1960,Laurence Olivier,0
1960,Spencer Tracy,0
1961,Maximilian Schell,1
1961,Charles Boyer,0
1961,Paul Newman,0
1961,Spencer Tracy,0
1961,Stuart Whitman,0
1962,Gregory Peck,1
1962,Burt Lancaster,0
1962,Jack Lemmon,0
1962,Marcello Mastroianni,0
1962,Peter O'Toole,0
1963,Sidney Poitier,1
1963,Albert Finney,0
1963,Richard Harris,0
1963,Rex Harrison,0
1963,Paul Newman,0
1964,Rex Harrison,1
1964,Richard Burton,0
1964,Peter O'Toole,0
1964,Anthony Quinn,0
1964,Peter Sellers,0
1965,Lee Marvin,1
1965,Richard Burton,0
1965,Laurence Olivier,0
1965,Rod Steiger,0
1965,Oskar Werner,0
1966,Paul Scofield,1
1966,Alan Arkin,0
1966,Richard Burton,0
1966,Michael Caine,0
1966,Steve McQueen,0
1967,Rod Steiger,1
1967,Warren Beatty,0
1967,Dustin Hoffman,0
1967,Paul Newman,0
1967,Spencer Tracy,0
1968,Cliff Robertson,1
1968,Alan Arkin,0
1968,Alan Bates,0
1968,Ron Moody,0
1968,Peter O'Toole,0
1969,John Wayne,1
1969,Richard Burton,0
1969,Dustin Hoffman,0
1969,Peter O'Toole,0
1969,Jon Voight,0
1970,George C. Scott,1
1970,Melvyn Douglas,0
1970,James Earl Jones,0
1970,Jack Nicholson,0
1970,Ryan O'Neal,0
1971,Gene Hackman,1
1971,Peter Finch,0
1971,Walter Matthau,0
1971,George C. Scott,0
1971,Topol,0
1972,Marlon Brando,1
1972,Michael Caine,0
1972,Laurence Olivier,0
1972,Peter O'Toole,0
1972,Paul Winfield,0
1973,Jack Lemmon,1
1973,Marlon Brando,0
1973,Jack Nicholson,0
1973,Al Pacino,0
1973,Robert Redford,0
1974,Art Carney,1
1974,Albert Finney,0
1974,Dustin Hoffman,0
1974,Jack Nicholson,0
