Year,Film,winner
1928,7th Heaven,1
1928,Sorrell and Son,0
1928,The Crowd,0
1928,Two Arabian Knights,0
1928,Speedy,0
1929,The Divine Lady,1
1929,Madame X,0
1929,The Broadway Melody,0
1929,In Old Arizona,0
1929,Drag,0
1929,Weary River,0
1929,The Patriot,0
1930,All Quiet on the Western Front,1
1930,Anna Christie,0
1930,Romance,0
1930,The Divorcee,0
1930,The Love Parade,0
1930,Hallelujah!,0
1931,Skippy,1
1931,A Free Soul,0
1931,The Front Page,0
1931,Cimarron,0
1931,Morocco,0
1932,Bad Girl,1
1932,The Champ,0
1932,Shanghai Express,0
1933,Cavalcade,1
1933,Lady for a Day,0
1933,Little Women,0
1934,It Happened One Night,1
1934,One Night of Love,0
1934,The Thin Man,0
1935,The Informer,1
1935,The Lives of a Bengal Lancer,0
1935,Mutiny on the Bounty,0
1936,Mr. Deeds Goes to Town,1
1936,My Man Godfrey,0
1936,The Great Ziegfeld,0
1936,San Francisco,0
1936,Dodsworth,0
1937,The Awful Truth,1
1937,The Life of Emile Zola,0
1937,The Good Earth,0
1937,Stage Door,0
1937,A Star Is Born,0
1938,You Can't Take It with You,1
1938,Angels with Dirty Faces,0
1938,Four Daughters,0
1938,Boys Town,0
1938,The Citadel,0
1939,Gone with the Wind,1
1939,Mr. Smith Goes to Washington,0
1939,Stagecoach,0
1939,"Goodbye, Mr. Chips",0
1939,Wuthering Heights,0
1940,The Grapes of Wrath,1
1940,The Philadelphia Story,0
1940,Rebecca,0
1940,Kitty Foyle,0
1940,The Letter,0
1941,How Green Was My Valley,1
1941,Here Comes Mr. Jordan,0
1941,Sergeant York,0
1941,Citizen Kane,0
1941,The Little Foxes,0
1942,Mrs. Miniver,1
1942,Yankee Doodle Dandy,0
1942,Wake Island,0
1942,Random Harvest,0
1942,Kings Row,0
1943,Casablanca,1
1943,The Human Comedy,0
1943,The Song of Bernadette,0
1943,Heaven Can Wait,0
1943,The More the Merrier,0
1944,Going My Way,1
1944,Lifeboat,0
1944,Wilson,0
1944,Laura,0
1944,Double Indemnity,0
1945,The Lost Weekend,1
1945,National Velvet,0
1945,Spellbound,0
1945,The Bells of St. Mary's,0
1945,The Southerner,0
1946,The Best Years of Our Lives,1
1946,The Yearling,0
1946,It's a Wonderful Life,0
1946,Brief Encounter,0
1946,The Killers,0
1947,Gentleman's Agreement,1
1947,A Double Life,0
1947,Crossfire,0
1947,The Bishop's Wife,0
1947,Great Expectations,0
1948,The Treasure of the Sierra Madre,1
1948,The Snake Pit,0
1948,Johnny Belinda,0
1948,Hamlet,0
1948,The Search,0
1949,A Letter to Three Wives,1
1949,The Fallen Idol,0
1949,All the King's Men,0
1949,Battleground,0
1949,The Heiress,0
1950,All About Eve,1
1950,Born Yesterday,0
1950,The Asphalt Jungle,0
1950,The Third Man,0
1950,Sunset Boulevard,0
1951,A Place in the Sun,1
1951,The African Queen,0
1951,A Streetcar Named Desire,0
1951,An American in Paris,0
1951,Detective Story,0
1952,The Quiet Man,1
1952,The Greatest Show on Earth,0
1952,Moulin Rouge,0
1952,5 Fingers,0
1952,High Noon,0
1953,From Here to Eternity,1
1953,Shane,0
1953,Lili,0
1953,Stalag 17,0
1953,Roman Holiday,0
1954,On the Waterfront,1
1954,Rear Window,0
1954,The Country Girl,0
1954,The High and the Mighty,0
1954,Sabrina,0
