Year,Film,winner
1927,Wings,1
1927,The Racket,0
1927,7th Heaven,0
1928,The Broadway Melody,1
1928,Alibi,0
1928,Hollywood Revue,0
1928,In Old Arizona,0
1928,The Patriot,0
1929,All Quiet on the Western Front,1
1929,The Big House,0
1929,Disraeli,0
1929,The Divorcee,0
1929,The Love Parade,0
1930,Cimarron,1
1930,East Lynne,0
1930,The Front Page,0
1930,Skippy,0
1930,Trader Horn,0
1931,Grand Hotel,1
1931,Arrowsmith,0
1931,Bad Girl,0
1931,The Champ,0
1931,Five Star Final,0
1931,One Hour with You,0
1931,Shanghai Express,0
1931,The Smiling Lieutenant,0
1932,Cavalcade,1
1932,42nd Street,0
1932,A Farewell to Arms,0
1932,I Am a Fugitive from a Chain Gang,0
1932,Lady for a Day,0
1932,Little Women,0
1932,The Private Life of Henry VIII,0
1932,She Done Him Wrong,0
1932,Smilin' Through,0
1932,State Fair,0
1934,It Happened One Night,1
1934,The Barretts of Wimpole Street,0
1934,Cleopatra,0
1934,Flirtation Walk,0
1934,The Gay Divorcee,0
1934,Here Comes the Navy,0
1934,The House of Rothschild,0
1934,Imitation of Life,0
1934,One Night of Love,0
1934,The Thin Man,0
1934,Viva Villa!,0
1934,The White Parade,0
1935,Mutiny on the Bounty,1
1935,Alice Adams,0
1935,Broadway Melody of 1936,0
1935,Captain Blood,0
1935,David Copperfield,0
1935,The Informer,0
1935,The Lives of a Bengal Lancer,0
1935,A Midsummer Night's Dream,0
1935,Les Misérables,0
1935,Naughty Marietta,0
1935,Ruggles of Red Gap,0
1935,Top Hat,0
1936,The Great Ziegfeld,1
1936,Anthony Adverse,0
1936,Dodsworth,0
1936,Libeled Lady,0
1936,Mr. Deeds Goes to Town,0
1936,Romeo and Juliet,0
1936,San Francisco,0
1936,The Story of Louis Pasteur,0
1936,A Tale of Two Cities,0
1936,Three Smart Girls,0
1937,The Life of Emile Zola,1
1937,The Awful Truth,0
1937,Captains Courageous,0
1937,Dead End,0
1937,The Good Earth,0
1937,In Old Chicago,0
1937,Lost Horizon,0
1937,One Hundred Men and a Girl,0
1937,Stage Door,0
1937,A Star Is Born,0
1938,You Can't Take It with You,1
1938,The Adventures of Robin Hood,0
1938,Alexander's Ragtime Band,0
1938,Boys Town,0
1938,The Citadel,0
1938,Four Daughters,0
1938,Grand Illusion,0
1938,Jezebel,0
1938,Pygmalion,0
1938,Test Pilot,0
1939,Gone with the Wind,1
1939,Dark Victory,0
1939,"Goodbye, Mr. Chips",0
1939,Love Affair,0
1939,Mr. Smith Goes to Washington,0
1939,Ninotchka,0
1939,Of Mice and Men,0
1939,Stagecoach,0
1939,The Wizard of Oz,0
1939,Wuthering Heights,0
1940,Rebecca,1
1940,"All This, and Heaven Too",0
1940,Foreign Correspondent,0
1940,The Grapes of Wrath,0
1940,The Great Dictator,0
1940,Kitty Foyle,0
1940,The Letter,0
1940,The Long Voyage Home,0
1940,Our Town,0
1940,The Philadelphia Story,0
1941,How Green Was My Valley,1
1941,Blossoms in the Dust,0
1941,Citizen Kane,0
1941,Here Comes Mr. Jordan,0
1941,Hold Back the Dawn,0
1941,The Little Foxes,0
1941,The Maltese Falcon,0
1941,One Foot in Heaven,0
1941,Sergeant York,0
1941,Suspicion,0
1942,Mrs. Miniver,1
1942,The Invaders,0
1942,Kings Row,0
1942,The Magnificent Ambersons,0
1942,The Pied Piper,0
1942,The Pride of the Yankees,0
1942,Random Harvest,0
1942,The Talk of the Town,0
1942,Wake Island,0
1942,Yankee Doodle Dandy,0
1943,Casablanca,1
1943,For Whom the Bell Tolls,0
1943,Heaven Can Wait,0
1943,The Human Comedy,0
1943,In Which We Serve,0
1943,Madame Curie,0
1943,The More the Merrier,0
1943,The Ox-Bow Incident,0
1943,The Song of Bernadette,0
1943,Watch on the Rhine,0
1944,Going My Way,1
1944,Double Indemnity,0
1944,Gaslight,0
1944,Since You Went Away,0
1944,Wilson,0
1945,The Lost Weekend,1
1945,Anchors Aweigh,0
1945,The Bells of St. Mary's,0
1945,Mildred Pierce,0
1945,Spellbound,0
1946,The Best Years of Our Lives,1
1946,Henry V,0
